"RES#","T","Rock unit","C","Comp","Craton","Slat","Slon","LMA","HMA","Isoage","Met","Age references","Age","B","N","P","R%","D","I","alfa95","k","s","S","lambda","Theta","Plat","Plon","dp","dm","A95","1","2","3","4","5","6","AV","Authors","Title","Journal","Year","Vol","Pages","Comments","Recalculation","DOI"
"100402","i","Younger Mahoba dyke swarm","IN","","India-Bundelkhand","25.2","79.5","1106","1120","1113 ± 7","g","Pradhan et al. (2012)","1113","4","76","N","0","24.7","-37.9","15.5","35.9","13.5","13.1","21.3","111.3","38.7","229.5","9.5","16.3","12.4","1","1","1","0","1","0","4","Pradhan, V.R., Meert, J.G., Pandit, M.K., Kamenov, G., Erfan Ali Mondal, Md.","Paleomagnetic and geochronological studies of the mafic dyke swarms of Bundelkhand craton, central India: implications for the tectonic evolution and paleogeographic reconstructions","Prec. Res.","2012","198-199","51-76","","0","https://doi.org/10.1016/j.precamres.2011.11.011"
"3065","i","Alona Bay lavas","CA","","Laurentia-Superior","47.6","275.3","1092","1132","","corr.","R correlation","1113","3","11","R","100","106.3","-74.8","10.2","21.0","17.7","30.8","61.5","151.5","47.4","232.7","17.1","18.5","17.8","1","0","0","0","1","0","2","Palmer, H.C.","Paleomagnetism and correlation of some Middle Keweenawan rocks, Lake Superior","Can. J. Earth Sci.","1970","7","1410-1436","","0","https://doi.org/10.1139/e70-136"
"1617","i","Baraga County dykes - R","US","","Laurentia-Superior","46.6","271.5","1100","1120","","corr., a","R correlation, APWP","1113","4","20","R","100","108.0","-78.4","5.4","281.0","4.8","8.9","67.7","157.7","48.9","238.2","9.6","10.2","9.9","1","0","1","1","1","0","4","Pesonen, L.J., Halls, H.C.","The paleomagnetism of Keweenawan dikes from Baraga and Marquette Counties, northern Michigan","Can. J. Earth Sci.","1979","16","2136-2149","Slightly more altered than Marquette dykes.","0","https://doi.org/10.1139/e79-201"
"10962","i","Central Arizona diabases grand mean -R","US","","Laurentia-Yavapai","33.7","249.2","1103","1129","1111.6 ± 8.9, 1119 ± 10","g","Donadini et al. (2012)","1119","5","?","R","100","199.1","-83.1","6.0","165.1","6.3","12.2","76.4","166.4","46.2","255.5","11.4","11.7","11.5","1","1","1","1","1","0","5","Donadini, F., Pesonen, L.J., Korhonen, K., Deutsch, A., Harlan, S.S.","Paleomagnetism and Paleointensity of the 1.1 Ga Old Diabase Sheets from Central Arizona","Geophysica","2011","47","3-30","Grand mean data by Helsley, Elston, Harlan, Sandberg et al., and Donadini et al.","0",""
"10952","i","Central Arizona diabases -R","US","","Laurentia-Yavapai","33.7","249.2","1103","1129","1111.6 ± 8.9, 1119 ± 10","g","Donadini et al. (2012)","1119","5","55","R","100","193.7","-78.7","15.7","24.7","16.3","30.1","68.2","158.2","54.9","258.1","28.1","29.7","28.9","1","1","1","0","1","0","4","Donadini, F., Pesonen, L.J., Korhonen, K., Deutsch, A., Harlan, S.S.","Paleomagnetism and Paleointensity of the 1.1 Ga Old Diabase Sheets from Central Arizona","Geophysica","2011","47","3-30","","0",""
"10577","i","Salt River Canyon sill interior","US","","Laurentia-Yavapai","33.8","249.4","1069","1169","1111.6 ± 8.9, 1119 ± 10","a, g","APWP, Donadini et al. (2012)","1119","6","40","R","100","245.2","-77.5","12.7","29.0","15","27.3","66.1","156.1","40.6","278.3","22.3","23.8","23","1","1","1","1","0","0","4","Sandberg, S.A., Butler, R.F.","Paleomagnetic fold test evidence for Laramide age of monoclinal folding, Salt River Canyon, Arizona","Earth Plan. Sci. Lett.","1985","73","140-146","","0","https://doi.org/10.1016/0012-821X(85)90041-X"
"100095","i","Pillar Lake lavas","CA","LTD Thermal","Laurentia-Superior","50.2","270.9","1103","1134","1129 ± 4.6, 1106 ± 3","g","Heaman et al. (2007)","1119","6","39","R","100","108.3","-70.1","11.4","8.7","27.5","44.2","54.1","144.1","47.6","215.3","16.3","19.0","17.6","1","0","1","0","1","0","3","Borradaile, G.J., Middleton, R.S.","Proterozoic paleomagnetism in the Nipigon Embayment of northern Ontario: Pillar Lake Lava, Waweig Troctolite and Gunflint Formation tuffs","Prec. Res.","2006","144","69-91","Ages 1129 ± 4.6 Ma (titanite) and 1106 ± 3 Ma (rutile).","0","https://doi.org/10.1016/j.precamres.2005.10.007"
"10578","i","Salt River Canyon sill chilled marginal","US","","Laurentia-Yavapai","33.8","249.4","1069","1169","1111.6 ± 8.9, 1119 ± 10","a, g","APWP, Donadini et al. (2012)","1119","4","24","R","100","19.2","-49.7","11.4","65.7","10","11.3","30.5","120.5","-23.2","231.4","10.1","15.2","12.4","1","1","1","1","0","0","4","Sandberg, S.A., Butler, R.F.","Paleomagnetic fold test evidence for Laramide age of monoclinal folding, Salt River Canyon, Arizona","Earth Plan. Sci. Lett.","1985","73","140-146","This may be a VGP only.","0","https://doi.org/10.1016/0012-821X(85)90041-X"
"7192","i","Arizona, Gila County diabases -R","US","","Laurentia-Yavapai","33.5","249.3","1103","1129","1111.6 ± 8.9, 1119 ± 10","g, e/f","Donadini et al. (2012)","1119","4","39","R","100","161.1","-87.5","19.9","22.2","17.2","34.2","85","175","38.6","247.3","39.7","39.8","39.7","1","0","1","0","1","0","3","Harlan, S.S.","Paleomagnetism of Middle Proterozoic diabase sheets from central Arizona","Can. J. Earth Sci.","1993","30","1415-1426","R polarity way off APWP.","0","https://doi.org/10.1139/e93-122"
"3001","i","Franklin Mountains igneous rocks","US","","Laurentia-Yavapai","31.9","253.6","1085","1155","1120 ± 35, 953 ± 13","g, e/f","GPMDB 4.6","1120","12","101","N","0","279.0","62.0","4.0","557.0","3.4","4.8","43.2","46.8","28.0","200.0","5.0","6.0","5.5","1","1","1","0","1","0","4","Spall, H.","Paleomagnetism of Precambrian rocks from El Paso, Texas","Phys. Earth Plan. Int.","1971","4","329-346","Mean of 4 igneous units given.","0","https://doi.org/10.1016/0031-9201(71)90016-1"
"10644","i","Hlagothi complex","ZA","C","Kalahari","-28.5","30.9","1020","1220","","a","APWP","1120","4","25","N","0","100.3","44.1","23.1","16.7","19.8","20.7","25.9","64.1","-20.5","101.8","18.1","28.9","22.9","0","1","1","0","1","0","3","Gumsley, A.P., de Kock, M.O., Rajesh, H.M., Knoper, M.W., Soderlund, U., Ernst, R.E.","The Hlagothi Complex: The identification of fragments from a Mesoarchaean large igneous province on the Kaapvaal Craton","Lithos","2013","174","333-348","Namaqua-Natal overprint, age estimated from APWP.","0","https://doi.org/10.1016/j.lithos.2012.06.007"
"10456","i","Pilanesberg alkaline complex","ZA","site PC3-1","Kalahari","-25.3","29.2","1297","1497","1397 ± 47","a, g","Hanson et al. (2006)","1120","1","6*","N","0","1.7","28.8","6.2","116.2","7.5","6.7","15.4","74.6","49.2","31.6","2.8","6.9","4.4","0","0","1","0","1","0","2","Gose, W.A., Hanson, R.E., Harmer, R.E., Seidel, E.K.","Reconnaissance paleomagnetic studies of Mesoproterozoic alkaline igneous complexes in the Kaapvaal craton, South Africa","J. Afr. Earth Sci.","2013","85","22-30","Poorly defined data and thus age is partly based on APWP in Fig. 8 in article.","0","https://doi.org/10.1016/j.jafrearsci.2013.04.005"
"5655","s","Balagannakh River sediments","RU","","Siberia-Olenek","70.5","123.0","1070","1170","1170, 1110, 1070","d","GPMDB 4.6","1120","20","20","M","20","229.0","13.0","10.0","9.0","27","21.8","6.6","83.4","6.0","254.0","5.2","10.2","7.3","0","0","0","0","1","1","2","Iosifidi, A.G., Rodionov, V.P.","Paleomagnetic directions and pole positions: Data for the USSR - Issue 6","Soviet Geophysical Committee: World Data Center-B (Moscow)","1986","","Catalogue","","0",""
