"RES#","T","Rock unit","C","Comp","Craton","Slat","Slon","LMA","HMA","Isoage","Met","Age references","Age","B","N","P","R%","D","I","alfa95","k","s","S","lambda","Theta","Plat","Plon","dp","dm","A95","1","2","3","4","5","6","AV","Authors","Title","Journal","Year","Vol","Pages","Comments","Recalculation","DOI"
"702","i","Unicoi basalts, Blue Ridge province","US","HT","Appalachians","36.6","278.4","530","550","","s","GPMDB 4.6","540","6","23","M","33","275.8","-16.6","13.8","24.4","16.4","13.5","8.5","98.5","-0.4","178.6","7.3","14.2","10.2","1","0","1","0","1","1","4","Brown, P.M., Van der Voo, R.","Paleomagnetism of the latest Precambrian/Cambrian Unicoi basalts from the Blue Ridge, northeast Tennessee and southwest Virginia: evidence for Taconic deformation","Earth Plan. Sci. Lett.","1982","60","407-414","","0","https://doi.org/10.1016/0012-821X(82)90076-0"
"16402","s","Johnnie formation, Desert Range -R","US","","Laurentia-Yavapai","36.8","244.7","525","555","","s","Bergmann et al. (2011)","540","1","31*","R","100","74.0","8.0","7.0","12.9","22.6","18","4","86","-15.2","161.2","3.6","7.1","5.1","0","1","1","0","1","1","4","Van Alstine, D.R., Gillett, S.L.","Paleomagnetism of Upper Precambrian sedimentary rocks from the Desert Range, Nevada","J. Geophys. Res.","1979","84","4490-4500","Rainstorm Member.","0","https://doi.org/10.1029/JB084iB09p04490"
"10341","i","Alnö complex A -N","SE","A","Baltica-Rest","62.5","17.5","490","590","584 ± 7","a, c","Meert et al. (2007)","540","14","88","N","0","99.9","6.1","14.0","9.0","27","21.5","3.1","86.9","-1.8","97.3","7.1","14.1","10","0","1","1","0","1","1","4","Piper, J.D.A.","Magnetic properties of the Alnön Complex","Geol. Fören. Stockholm Förhandlingar","1981","103","9-15","Shallow direction very different from other Fennoscandian directions of this age.","1","https://doi.org/10.1080/11035898109455197"
"10794","s","Marwar (Jodhpur) supergroup","IN","","India-Rajasthan","26.6","72.8","500","750","","foss., s","Davis et al. (2014)","540","7","21","M","81","89.0","-1.0","9.0","14.0","21.6","17.1","0.5","90.5","-1.0","344.0","5.0","9.0","6.7","0","0","1","0","1","1","3","Davis, J.K., Meert, J.G., Pandit, M.K.","Paleomagnetic analysis of the Marwar Supergroup, Rajasthan, India and proposed interbasinal correlations","J. Asian Earth Sci.","2014","91","339-351","Does not correlate with upper Vindhyan","0","https://doi.org/10.1016/j.jseaes.2013.09.027"
"1328","i","Alnö complex","SE","A","Baltica-Rest","62.5","17.5","490","590","584 ± 7","a, c","Meert et al. (2007)","540","21","103","M","67","107.2","1.6","9.3","13.0","22.5","17.8","0.8","89.2","-7.6","92.0","4.7","9.3","6.6","0","1","1","0","1","1","4","Piper, J.D.A.","Magnetic properties of the Alnön Complex","Geol. Fören. Stockholm Förhandlingar","1981","103","9-15","Shallow direction very different from other Fennoscandian directions of this age. Included in 10340.","0","https://doi.org/10.1080/11035898109455197"
"164","s","Johnnie formation, Desert Range -C","US","","Laurentia-Yavapai","36.8","244.7","525","555","","s","Bergmann et al. (2011)","540","1","41*","C","75","78.0","1.0","10.0","48.1","11.7","9.2","0.5","89.5","-10.0","162.0","5.0","10.0","7.1","0","1","1","0","1","1","4","Van Alstine, D.R., Gillett, S.L.","Paleomagnetism of Upper Precambrian sedimentary rocks from the Desert Range, Nevada","J. Geophys. Res.","1979","84","4490-4500","Rainstorm Member.","0","https://doi.org/10.1029/JB084iB09p04490"
"10342","i","Alnö complex A -R","SE","A","Baltica-Rest","62.5","17.5","490","590","584 ± 7","a, c","Meert et al. (2007)","540","7","46","R","100","291.4","7.0","15.2","17.0","19.6","15.6","3.5","86.5","-12.9","89.3","7.7","15.3","10.9","0","1","1","0","1","1","4","Piper, J.D.A.","Magnetic properties of the Alnön Complex","Geol. Fören. Stockholm Förhandlingar","1981","103","9-15","Shallow direction very different from other Fennoscandian directions of this age.","1","https://doi.org/10.1080/11035898109455197"
"10629","i","Volhyn lavas","UA","C1, C2","Baltica-Ukraine","50.9","26.2","360","580","","c","Elming et al. (2007)","540","2","66","R","100","114.5","-21.8","","","","","11.3","101.3","24.1","283.1","","","","0","0","1","0","1","0","2","Elming, S.-A., Kravchenko, S.N., Layer, P., Rusakov, O.M., Glevasskaya, A.M., Mikhailova, N.P., Bachtadse, V.","Palaeomagnetism and 40Ar/39Ar age determinations of the Ediacaran traps from the southwestern margin of the East European Craton, Ukraine: relevance to the Rodinia break-up","J. Geol. Soc. Lon.","2007","164","969-982","Unclear age, may be even Devonian.","0","https://doi.org/10.1144/0016-76492005-163"
"10066","i","Alnö carbonatite complex","SE","HT","Baltica-Rest","62.5","17.5","490","590","584 ± 7","a, c","Meert et al. (2007)","540","6","40","N","0","108.0","10.5","32.1","5.3","35.2","28.2","5.3","84.7","-3.5","89.0","16.5","32.5","23.2","0","0","1","0","1","0","2","Meert, J.G., Walderhaug, H.J., Torsvik, T.H., Hendriks, B.W.H.","Age and paleomagnetic signature of the Alnö carbonatite complex (NE Sweden): Additional controversy for the Neoproterozoic paleoposition of Baltica","Prec. Res.","2007","154","159-174","Shallow inclination, probably younger than isotopic age suggests.","0","https://doi.org/10.1016/j.precamres.2006.12.008"
"10340","i","Alnö complex A -C","SE","A","Baltica-Rest","62.5","17.5","490","590","584 ± 7","a, c","Meert et al. (2007)","540","21","134","C","33","107.2","1.6","9.3","13.0","22.5","17.8","0.8","89.2","-7.6","92.0","5.0","9.0","6.7","0","1","1","0","1","1","4","Piper, J.D.A.","Magnetic properties of the Alnön Complex","Geol. Fören. Stockholm Förhandlingar","1981","103","9-15","Shallow direction very different from other Fennoscandian directions of this age. Supersedes GPMDB entry 1328.","0","https://doi.org/10.1080/11035898109455197"
"801","i","Post-Uriconian dolerites, main group","UK","","East Avalonia","52.7","357.3","510","570","638 ± 81","a, d, g","Compston et al. (2002)","540","11","70","N","0","71.9","54.2","12.0","15.3","20.7","25.1","34.7","55.3","-37.4","257.1","13.0","18.6","15.5","0","1","1","0","1","0","3","Piper, J.D.A.","Palaeomagnetic study of Late Precambrian rocks of the Midland craton of England and Wales","Phys. Earth Plan. Int.","1979","19","59-72","Upper age limit from U-Pb, lower limit from APWP.","0","https://doi.org/10.1016/0031-9201(79)90090-6"
"16401","s","Johnnie formation, Desert Range -N","US","","Laurentia-Yavapai","36.8","244.7","525","555","","s","Bergmann et al. (2011)","540","1","10*","N","0","261.0","7.0","11.0","16.2","20.1","16","3.5","86.5","-5.2","162.9","5.6","11.1","7.9","0","0","1","0","1","1","3","Van Alstine, D.R., Gillett, S.L.","Paleomagnetism of Upper Precambrian sedimentary rocks from the Desert Range, Nevada","J. Geophys. Res.","1979","84","4490-4500","Rainstorm Member.","0","https://doi.org/10.1029/JB084iB09p04490"
"10667","i","Mount Timna  dolerite dyke","IS","HT","Arabia","29.8","34.9","522","562","625 ± 5, 609 ± 10, 610 ± 8, 611 ± 10, 592 ± 7","a, g, e/f","Kröner and Beyth (1990), Halpern and Tristan (1981)","542","1","6*","N","0","318.0","0.0","2.0","1876.0","1.9","1.5","0","90","40.2","276.0","2.0","4.0","2.8","0","0","1","0","1","0","2","Marco, S., Ron, H., Matthews, A., Beyth, M., Navon, O.","Chemical remanent magnetism related to the Dead Sea Rift: evidence from Precambrian igneous rocks of Mount Timna, southern Israel","J. Geophys. Res.","1993","98","16001-16012","Interpreted as late Precambrian - early Cambrian pole. Isotopic ages concern other igneous rocks in Timna area - dykes not dated directly.","0","https://doi.org/10.1029/93JB01426"
"1569","i","Gannakouriep dyke swarm, secondary","ZA","NW","Natal-Namaqua","-29.3","17.5","538","546","542 ± 4","c","Onstott et al. (1986)","542","1","6*","R","100","338.9","35.7","7.9","72.0","9.5","9","19.8","70.2","36.7","352.5","5.3","9.2","7","1","0","1","0","1","0","3","Onstott, T.C., Hargraves, R.B., Reid, D.L.","Constraints on the tectonic evolution of the Namaqua Province III: Palaeomagnetic and 40Ar/39Ar results from the Gannakouriep dyke swarm","Trans. Geol. Soc. S. Afr.","1986","89","171-183","Secondary component reflecting 40Ar/39Ar age (Pan-African overprint).","0",""
"1256","s","Upper Nama group (Fish River)","NA","N2","Sinclair","-26.5","17.5","540","566","553 ± 13","a, s","APWP, Bowring et al. (2007)","542","4","15","R","100","87.0","31.0","15.0","41.0","12.7","11.4","16.7","73.3","5.0","271.0","9.4","16.8","12.6","1","0","0","0","0","0","1","Kroner, A., McWilliams, M.O., Germs, G.J.B., Reid, A.B., Schalk, K.E.L.","Paleomagnetism of Late Precambrian to Early Paleozoic mixtite-bearing formations in Namibia (South West Africa): the Nama Group and Blaubeker Formation","Am. J. Sci.","1980","280","942-968","Prefolding. Red sandstones.","0","https://doi.org/10.2475/ajs.280.9.942"
"5431","s","Maninsk, Nyarovei and Kokpel groups","RU","loc. 1","Timanides","67.0","65.0","488","600","","s","GPMDB 4.6","544","8","27","M","75","159.0","4.0","11.0","27.0","15.6","12.4","2","88","-19.0","87.0","6.0","11.0","8.1","0","1","0","1","1","1","4","Gernic, V.V.","Paleomagnetic directions and pole positions: Data for the USSR - Issue 3","Soviet Geophysical Committee: World Data Center-B (Moscow)","1975","","Catalogue","Included in 5451.","0",""
"5436","s","Maninsk, Nyarovei and Kokpel groups","RU","loc. 2","Timanides","67.0","65.0","488","600","","s","GPMDB 4.6","544","8","24","M","63","186.0","18.0","14.0","17.0","19.6","16.2","9.2","80.8","-14.0","58.0","8.0","14.0","10.6","0","0","0","1","0","1","2","Gernic, V.V.","Paleomagnetic directions and pole positions: Data for the USSR - Issue 3","Soviet Geophysical Committee: World Data Center-B (Moscow)","1975","","Catalogue","Included in 5451.","0",""
"10995","s","Kessyusa formation of Olenek River","RU","","Siberia-Olenek","70.9","122.6","542","560","543.9 ± 0.24","g","Bowring et al. (1993)","544","4","12","M","84","144.6","-39.8","12.8","10.0","25.6","25.4","22.6","112.6","-37.6","165.0","9.3","15.4","12","1","0","1","0","1","1","4","Pisarevsky, S.A., Gurevich, E.L., Khramov, A.N.","Palaeomagnetism of Lower Cambrian sediments from the Olenek River section (northern Siberia): palaeopoles and the problem of magnetic polarity in the Early Cambrian","Geophys. J. Int.","1997","130","746-756","Not known if the strata have dip","1","https://doi.org/10.1111/j.1365-246X.1997.tb01869.x"
"5434","s","Maninsk, Nyarovei and Kokpel groups","RU","loc. 3","Timanides","67.0","65.0","488","600","","s","GPMDB 4.6","544","28","87","M","68","90.0","0.0","11.0","11.0","24.4","19.3","0","90","0.0","155.0","7.0","14.0","9.9","0","1","0","1","1","1","4","Gernic, V.V.","Paleomagnetic directions and pole positions: Data for the USSR - Issue 3","Soviet Geophysical Committee: World Data Center-B (Moscow)","1975","","Catalogue","Included in 5450.","0",""
"5450","s","Polar Urals intrusives and sediments (comb.)","RU","comb.","Timanides","67.0","65.0","488","600","","s","GPMDB 4.6","544","65","204","M","67","107.0","0.0","4.0","18.0","19.1","15.1","0","90","-6.0","139.0","2.0","4.0","2.8","0","1","0","0","1","1","3","Khramov, A.N.","Paleomagnetic directions and pole positions: Data for the USSR - Issue 5","Soviet Geophysical Committee: World Data Center-B (Moscow)","1982","","Catalogue","Combined 5432-5434.","0",""
"5432","s","Maninsk, Nyarovei and Kokpel groups","RU","loc. 1","Timanides","67.0","65.0","488","600","","s","GPMDB 4.6","544","21","69","M","76","125.0","0.0","9.0","22.0","17.3","13.7","0","90","-12.0","124.0","8.0","16.0","11.3","0","1","0","1","1","1","4","Gernic, V.V.","Paleomagnetic directions and pole positions: Data for the USSR - Issue 3","Soviet Geophysical Committee: World Data Center-B (Moscow)","1975","","Catalogue","Included in 5450.","0",""
"6794","i","Pre-Azov dykes","UA","","Baltica-Ukraine","47.5","38.0","488","600","495-600","d","GPMDB 4.6","544","3","12","N","0","243.0","13.0","15.0","7.0","30.6","24.8","6.6","83.4","12.0","153.0","7.8","15.3","10.9","0","0","1","0","1","0","2","Mikhailova, N.P.","Paleomagnetic directions and paleomagnetic pole positions: Data for the former USSR - Issue 8","VNIGRI Institute","1993","","Catalogue","","0",""
"3211","s","Sijarira group","ZW","","Zimbabwe","-17.5","28.5","488","600","","s","GPMDB 4.6","544","9","40","R","100","291.0","67.0","18.5","8.7","27.5","41.8","49.7","40.3","2.0","352.0","26.0","30.0","27.9","0","0","1","1","1","0","3","Reid, A.B.","A palaeomagnetic study of the Sijarira Group, Rhodesia","MPhil. thesis, University of London","1968","","67pp.","","0",""
"5435","s","Maninsk, Nyarovei and Kokpel groups","RU","loc. 2","Timanides","67.0","65.0","488","600","","s","GPMDB 4.6","544","18","54","M","61","150.0","-16.0","18.0","36.0","13.5","11.1","8.2","98.2","-28.0","98.0","8.0","15.0","11","0","0","0","1","1","1","3","Gernic, V.V.","Paleomagnetic directions and pole positions: Data for the USSR - Issue 3","Soviet Geophysical Committee: World Data Center-B (Moscow)","1975","","Catalogue","Included in 5451.","0",""
"5451","s","Polar Urals intrusives and sediments (comb.)","RU","comb.","Timanides","67.0","65.0","488","600","","s","GPMDB 4.6","544","14","105","M","67","169.0","7.0","10.0","13.0","22.5","17.9","3.5","86.5","-20.0","79.0","5.1","10.1","7.2","0","1","0","0","1","1","3","Khramov, A.N.","Paleomagnetic directions and pole positions: Data for the USSR - Issue 5","Soviet Geophysical Committee: World Data Center-B (Moscow)","1982","","Catalogue","Combined  5431, 5435-5436.","0",""
"5433","s","Maninsk, Nyarovei and Kokpel groups","RU","loc. 3","Timanides","67.0","65.0","488","600","","s","GPMDB 4.6","544","16","48","M","56","108.0","0.0","3.0","65.0","10","7.9","0","90","-6.0","139.0","4.0","9.0","6","0","1","0","1","0","1","3","Gernic, V.V.","Paleomagnetic directions and pole positions: Data for the USSR - Issue 3","Soviet Geophysical Committee: World Data Center-B (Moscow)","1975","","Catalogue","Included in 5450.","0",""
"10069","s","Sayan - SW Baikal Vendian sediments","RU","B1","Siberia-Sayan","52.4","104.9","535","570","","a, s","APWP, Shatsillo et al. (2006)","545","4","84","N","0","354.4","41.4","6.0","238.2","5.2","5.3","23.8","66.2","60.8","296.3","4.5","7.3","5.7","0","1","1","1","0","0","3","Shatsillo, A.V., Didenko, A.N., Pavlov, V.E.","Two competing Paleomagnetic directions in the Late Vendian: New data for the SW region of the Siberian Platform","Russ. J. Earth Sci.","2005","7","1-24","Can be anomalous?","0",""
"13270","s","Johnnie Formation, Nopah Range -C","US","W+E","Laurentia-Yavapai","35.8","243.9","530","560","","s, a","Bergmann et al. (2011), APWP","545","1","24*","C","38","259.1","3.1","17.0","4.0","40.5","32.1","1.6","88.4","-7.9","161.6","8.5","17.0","12","0","0","1","0","1","0","2","Minguez, D., Kodama, K.P., Hillhouse, J.W.","Paleomagnetic and cyclostratigraphic constraints on the synchroneity and duration of the Shuram carbon isotope excursion, Johnnie Formation, Death Valley Region, CA","Prec. Res.","2015","266","395-408","Rainstorm Member.","0","https://doi.org/10.1016/j.precamres.2015.05.033"
"13271","s","Johnnie formation, Nopah Range -N","US","W","Laurentia-Yavapai","35.8","243.9","530","560","","s, a","Bergmann et al. (2011), APWP","545","1","15*","N","0","259.5","6.9","21.5","3.9","41","32.6","3.5","86.5","-6.4","162.9","10.9","21.6","15.3","0","0","1","0","1","0","2","Minguez, D., Kodama, K.P., Hillhouse, J.W.","Paleomagnetic and cyclostratigraphic constraints on the synchroneity and duration of the Shuram carbon isotope excursion, Johnnie Formation, Death Valley Region, CA","Prec. Res.","2015","266","395-408","Rainstorm Member.","0","https://doi.org/10.1016/j.precamres.2015.05.033"
"10068","s","Sayan - SW Baikal Vendian sediments","RU","B2","Siberia-Sayan","52.4","104.9","535","570","","a, s","APWP, Shatsillo et al. (2006)","545","4","52","M","?","214.8","-3.9","10.8","73.6","9.4","7.5","2","92","31.6","243.7","5.4","10.8","7.6","0","1","1","1","0","1","4","Shatsillo, A.V., Didenko, A.N., Pavlov, V.E.","Two competing Paleomagnetic directions in the Late Vendian: New data for the SW region of the Siberian Platform","Russ. J. Earth Sci.","2005","7","1-24","B2 subdirection from Motyi-Irkut obtained from Kravchinsky et al. (2001).","0",""
"13272","s","Johnnie formation, Nopah Range -R","US","E","Laurentia-Yavapai","35.8","243.9","530","560","","s, a","Bergmann et al. (2011), APWP","545","1","9*","R","100","94.8","35.0","29.6","3.5","43.3","40.7","19.3","70.7","-7.5","135.4","19.6","34.1","25.9","0","0","1","0","1","0","2","Minguez, D., Kodama, K.P., Hillhouse, J.W.","Paleomagnetic and cyclostratigraphic constraints on the synchroneity and duration of the Shuram carbon isotope excursion, Johnnie Formation, Death Valley Region, CA","Prec. Res.","2015","266","395-408","Rainstorm Member.","0","https://doi.org/10.1016/j.precamres.2015.05.033"
"6036","i","Charnian plutons","UK","NW-SE","East Avalonia","52.8","358.7","524","568","546 ± 22, 552 ± 58, 547 ± 24","e/f, d","Tucker and Pharaoh (1991)","546","?","34","M","?","311.7","46.1","7.6","11.6","23.8","25.5","27.5","62.5","46.0","253.0","6.2","9.7","7.8","1","1","1","0","0","1","4","Piper, J.D.A., Strange, T.M.","A palaeomagnetic study of the Charnian, Caldecote and Uriconian volcanics and plutons, central England","Geol. J.","1989","24","331-357","","0","https://doi.org/10.1002/gj.3350240407"
"62","i","Rhyolitic ignimbrites, Lézardrieux","FR","HT","Cadomia","48.8","357.0","538","554","546 ± 8, 547 ± 12","s, e/f","Hagstrum et al. (1980)","546","1","9*","N","0","88.8","-37.1","25.3","5.1","35.9","34.5","20.7","110.7","14.7","281.7","17.4","29.7","22.7","1","0","1","0","1","0","3","Hagstrum, J.T., Van der Voo, R., Auvray, B., Bonhommet, N.","Eocambrian-Cambrian palaeomagnetism of the Armorican Massif, France","Geophys. JRAS","1980","61","489-517","High temp. component, authors state that this may be Cambrian.","0","https://doi.org/10.1111/j.1365-246X.1980.tb04830.x"
"6037","i","Charnian plutons","UK","S","East Avalonia","52.8","358.7","524","568","546 ± 22, 552 ± 58, 547 ± 24","e/f, d","Tucker and Pharaoh (1991)","546","?","11","R","100","170.8","-55.9","10.2","21.0","17.7","22.1","36.4","126.4","72.0","204.0","10.5","14.6","12.4","1","0","1","0","0","0","2","Piper, J.D.A., Strange, T.M.","A palaeomagnetic study of the Charnian, Caldecote and Uriconian volcanics and plutons, central England","Geol. J.","1989","24","331-357","","0","https://doi.org/10.1002/gj.3350240407"
"1130","i","Leicester diorites","UK","","East Avalonia","52.6","358.9","524","568","546 ± 22, 552 ± 58","e/f","Cribb (1975)","546","3","21","N","0","18.0","48.0","11.0","136.0","6.9","7.7","29","61","63.0","141.0","9.0","9.0","9","1","0","1","0","0","0","2","Duff, B.A.","Palaeomagnetism of Late Precambrian or Cambrian diorites from Leicestershire, U.K.","Geol. Mag.","1980","117","479-483","","0","https://doi.org/10.1017/S0016756800028594"
"6035","i","Charnian plutons","UK","NE-SW","East Avalonia","52.8","358.7","524","568","546 ± 22, 552 ± 58, 547 ± 24","e/f, d","Tucker and Pharaoh (1991)","546","?","82","M","?","230.9","-40.9","5.0","10.0","25.6","25.7","23.4","113.4","-41.0","286.0","3.7","6.2","4.8","1","1","1","0","0","1","4","Piper, J.D.A., Strange, T.M.","A palaeomagnetic study of the Charnian, Caldecote and Uriconian volcanics and plutons, central England","Geol. J.","1989","24","331-357","","0","https://doi.org/10.1002/gj.3350240407"
"61","i","Rhyolitic ignimbrites of Lézardrieux and rhyolites of St. Germain-le-Gaillard","FR","char.","Cadomia","48.8","357.0","538","554","546 ± 8, 547 ± 12","s, e/f","Hagstrum et al. (1980)","546","8","49","R","100","191.8","38.2","16.3","12.5","22.9","22.3","21.5","68.5","-16.1","343.1","11.4","19.3","14.8","1","0","1","0","1","0","3","Hagstrum, J.T., Van der Voo, R., Auvray, B., Bonhommet, N.","Eocambrian-Cambrian palaeomagnetism of the Armorican Massif, France","Geophys. JRAS","1980","61","489-517","","0","https://doi.org/10.1111/j.1365-246X.1980.tb04830.x"
"10862","s","Pound quartzite","AU","","South Australia","-31.5","138.6","541","550","","foss.","Bowring et al. (2007)","546","8","26","N","0","337.0","-71.0","9.0","39.0","13","21.2","55.4","145.4","61.0","346.0","13.0","15.0","14","1","1","0","0","1","0","3","McWilliams, M.O., McElhinny, M.W.","Late Precambrian paleomagnetism in Australia: the Adelaide Geosyncline","J. Geol.","1980","88","1-26","Data uncorrected for structural tilt","0","https://doi.org/10.1086/628470"
"7771","s","Risky formation","CA","A","Laurentia-Slave","64.6","227.1","543","549","","s","Kaufman et al. (1997)","546","4","11","M","?","55.0","-64.0","11.0","18.0","19.1","27.5","45.7","135.7","29.0","187.0","14.0","18.0","15.9","1","0","1","0","1","1","4","Park, J.K.","Paleomagnetism of the late Neoproterozoic Blueflower and Risky formations of the northern Cordillera, Canada","Can. J. Earth Sci.","1995","32","718-729","","0","https://doi.org/10.1139/e95-061"
"1920","s","Pound quartzite","AU","","South Australia","-31.0","138.5","541","550","","foss.","Bowring et al. (2007)","546","1","10*","M","80","203.0","17.0","27.7","4.7","37.4","30.7","8.7","81.3","60.0","186.0","23.5","23.5","23.5","1","0","0","0","1","1","3","Embleton, B.J.J., Giddings, J.W.","Late Precambrian and Lower Palaeozoic palaeomagnetic results from South Australia and Western Australia","Earth Plan. Sci. Lett.","1974","22","355-365","Data uncorrected for structural tilt","0","https://doi.org/10.1016/0012-821X(74)90145-9"
"947","s","Dengying formation","CN","","South China","30.0","112.0","542","551","670","corr., j","Condon et al. (2005)","547","5","56","N","0","39.0","19.0","14.0","2.8","48.4","40.2","9.8","80.2","48.0","223.0","7.6","14.6","10.5","1","0","0","0","1","0","2","Zhang, H., Zhang, W.","Palaeomagnetic data, Late Precambrian magnetostratigraphy and tectonic evolution of eastern China","Prec. Res.","1985","29","65-75","Maybe younger than the isotopic age suggests. Original data by Zhang et al. (1983).","0","https://doi.org/10.1016/0301-9268(85)90060-9"
"8126","i","Sinyai metadolerite dyke","KE","sec.","Congo","0.5","37.1","528","593","547 ± 4","c","Meert and Van der Voo (1996)","547","1","42*","M","67","241.0","20.0","5.0","20.0","18.1","15.1","10.3","79.7","-29.0","319.0","3.0","5.0","3.9","1","1","1","0","0","1","4","Meert, J.G., Van der Voo, R.","Paleomagnetic and 40Ar/39Ar study of the Sinyai dolerite, Kenya: implications for Gondwana assembly","J. Geol.","1996","104","131-142","Dual polarity but still acquired during metamorphism","0",""
"10531","s","Zigan formation of Bashkir anticlinorium -R","RU","","Baltica-Ural","53.7","56.7","540","562","548.2 ± 3.5","g","Fedorova et al. (2013)","548","5","40","R","100","288.4","18.4","7.4","108.3","7.8","6.4","9.4","80.6","-18.5","137.4","4.0","7.7","5.5","0","1","1","1","0","1","4","Fedorova, N.M., Levashova, N.M., Bazhenov, M.L., Meert, J.G., Sergeeva, N.D., Golovanova, I.V., Danukalov, K.N., Kuznetsov, N.B., Kadyrov, A.F., Khidiyatov, M.M.","The East European Platform in the late Ediacaran: new paleomagnetic and geochronological data","Russ. Geol. Geophy.","2013","54","1392-1401","","0","https://doi.org/10.1016/j.rgg.2013.10.003"
"11270","s","Zigan HTC thin beds -C","RU","","Baltica-Ural","53.7","56.7","544","551","547.6 ± 3.8","a, g","Levashova et al. (2013)","548","6","74","C","50","107.3","-18.7","11.2","36.6","13.4","11.1","9.6","99.6","-18.0","138.3","6.1","11.7","8.4","0","1","1","1","1","1","5","Bazhenov, M.L., Levashova, N.M., Meert, J.G., Golovanova, I.V., Danukalov, K.N., Fedorova, N.M.","Late Ediacaran magnetostratigraphy of Baltica: Evidence for Magnetic Field Hyperactivity?","Earth Plan. Sci. Lett.","2016","435","124-135","Tilt-corrected data from Table 2 used.","0","https://doi.org/10.1016/j.epsl.2015.12.015"
"10521","s","Zigan formation clastic rocks -R","RU","C","Baltica-Ural","53.7","56.7","544","551","547.6 ± 3.8","g, a","Levashova et al. (2013)","548","22","161","R","100","284.9","13.6","7.1","20.0","18.1","14.7","6.9","83.1","-14.4","138.7","3.7","7.3","5.2","0","1","1","1","1","1","5","Levashova, N.M., Bazhenov, M.L., Meert, J.G., Kuznetsov, N.B., Golovanova, I.V., Danukalov, K.N., Fedorova, N.M.","Paleogeography of Baltica in the Ediacaran: Paleomagnetic and geochronological data from the clastic Zigan formation, South Urals","Prec. Res.","2013","236","16-30","","0","https://doi.org/10.1016/j.precamres.2013.06.006"
"10532","s","Zigan formation of Bashkir anticlinorium -N","RU","","Baltica-Ural","53.7","56.7","540","562","548.2 ± 3.5","g","Fedorova et al. (2013)","548","3","29","N","0","105.4","-20.1","14.7","71.8","9.6","8","10.4","100.4","-17.4","140.5","8.0","15.4","11.1","0","1","1","1","0","1","4","Fedorova, N.M., Levashova, N.M., Bazhenov, M.L., Meert, J.G., Sergeeva, N.D., Golovanova, I.V., Danukalov, K.N., Kuznetsov, N.B., Kadyrov, A.F., Khidiyatov, M.M.","The East European Platform in the late Ediacaran: new paleomagnetic and geochronological data","Russ. Geol. Geophy.","2013","54","1392-1401","","0","https://doi.org/10.1016/j.rgg.2013.10.003"
"115","i","Tregor microgranites","FR","H-Int.","Cadomia","48.8","356.9","524","572","548 ± 24","e/f","GPMDB 4.6","548","11","67","R","100","200.0","50.8","8.7","28.5","15.2","17.5","31.5","58.5","5.8","159.9","7.9","11.7","9.6","0","1","1","1","0","0","3","Perigo, R., Van der Voo, R., Auvray, B., Bonhommet, N.","Palaeomagnetism of late Precambrian-Cambrian volcanics and intrusives from the Armorican Massif, France","Geophys. JRAS","1983","75","235-260","Located at a distance from dolerite dykes, not remagnetized.","0","https://doi.org/10.1111/j.1365-246X.1983.tb01922.x"
"11271","s","Zigan HTC thin beds -N","RU","","Baltica-Ural","53.7","56.7","544","551","547.6 ± 3.8","a, g","Levashova et al. (2013)","548","3","49","N","0","115.0","-18.1","15.7","62.9","10.2","8.4","9.3","99.3","-22.2","131.7","8.5","16.3","11.8","0","1","1","1","1","1","5","Bazhenov, M.L., Levashova, N.M., Meert, J.G., Golovanova, I.V., Danukalov, K.N., Fedorova, N.M.","Late Ediacaran magnetostratigraphy of Baltica: Evidence for Magnetic Field Hyperactivity?","Earth Plan. Sci. Lett.","2016","435","124-135","Tilt-corrected data from Table 2 used.","0","https://doi.org/10.1016/j.epsl.2015.12.015"
"10530","s","Zigan formation of Bashkir anticlinorium -C","RU","","Baltica-Ural","53.7","56.7","540","562","548.2 ± 3.5","g","Fedorova et al. (2013)","548","8","69","C","62","287.2","19.1","5.5","103.0","8","6.6","9.8","80.2","-18.1","138.6","3.0","5.7","4.1","0","1","1","1","0","1","4","Fedorova, N.M., Levashova, N.M., Bazhenov, M.L., Meert, J.G., Sergeeva, N.D., Golovanova, I.V., Danukalov, K.N., Kuznetsov, N.B., Kadyrov, A.F., Khidiyatov, M.M.","The East European Platform in the late Ediacaran: new paleomagnetic and geochronological data","Russ. Geol. Geophy.","2013","54","1392-1401","","0","https://doi.org/10.1016/j.rgg.2013.10.003"
"10522","s","Zigan formation clastic rocks -N","RU","A","Baltica-Ural","53.7","56.7","544","551","547.6 ± 3.8","g, a","Levashova et al. (2013)","548","14","99","N","0","107.7","-18.3","5.9","47.0","11.8","9.8","9.4","99.4","-18.0","137.9","3.2","6.1","4.4","0","1","1","1","1","1","5","Levashova, N.M., Bazhenov, M.L., Meert, J.G., Kuznetsov, N.B., Golovanova, I.V., Danukalov, K.N., Fedorova, N.M.","Paleogeography of Baltica in the Ediacaran: Paleomagnetic and geochronological data from the clastic Zigan formation, South Urals","Prec. Res.","2013","236","16-30","","0","https://doi.org/10.1016/j.precamres.2013.06.006"
